customer_state,delivered_orders,delivered_gpv,avg_review_score,avg_delivery_days,late_delivery_rate
SP,40501,5770409.65,4.085454545454545,11.507272727272728,0.09440454545454546
RJ,12350,2055690.45,4.022380952380952,14.687142857142858,0.10426190476190478
MG,11354,1819277.61,4.1971428571428575,12.097142857142856,0.041433333333333336
RS,5345,861802.4,4.209047619047619,14.982857142857142,0.05631904761904762
PR,4923,781919.55,4.2749999999999995,11.856363636363636,0.039368181818181816
SC,3546,595208.4,4.139047619047619,14.988571428571428,0.08471428571428571
BA,3256,591270.6,3.9609523809523814,19.356666666666666,0.1192904761904762
DF,2080,346146.17,4.085238095238095,13.700952380952382,0.057628571428571425
GO,1957,334294.22000000003,4.151428571428571,15.552857142857144,0.06377142857142856
ES,1995,317682.65,4.095238095238095,15.914285714285715,0.09750476190476191
PE,1593,309074.59,4.133333333333333,18.625238095238096,0.095
CE,1279,266463.97000000003,4.018571428571429,21.57095238095238,0.12836190476190476
PA,946,212027.55,4.003809523809524,22.834761904761905,0.09761428571428572
MT,886,181441.72,4.119047619047619,17.554761904761904,0.06595238095238096
MA,717,147807.29,3.9561904761904763,21.193809523809524,0.16805714285714285
PB,517,137834.65,4.154761904761905,20.97047619047619,0.10145714285714287
MS,701,134421.54,4.2635,15.1095,0.090005
PI,476,105272.17,4.078571428571429,19.688095238095237,0.12300476190476191
RN,474,100728.3,4.247619047619048,19.401904761904763,0.09214761904761905
AL,397,94195.79000000001,3.854761904761905,24.57761904761905,0.2112047619047619
SE,335,70289.13,3.9442857142857144,21.67047619047619,0.14227142857142855
TO,274,60007.37,4.2065,17.246000000000002,0.099425
RO,243,56975.7,4.1505,19.462,0.027434999999999998
AM,145,27596.18,4.191578947368421,25.23842105263158,0.039768421052631585
AC,80,19586.25,4.0595,21.2985,0.0325
AP,67,16141.81,4.342222222222222,26.179444444444446,0.05092777777777777
RR,41,9039.52,3.849411764705882,28.633529411764705,0.1274470588235294
