purchase_month_start,delivered_orders,delivered_gpv,avg_review_score,avg_delivery_days,late_delivery_rate
2016-09-01,1,143.46,1.0,54.81,1.0
2016-10-01,265,46566.71,4.011450381679389,19.600528301886794,0.011320754716981131
2016-12-01,1,19.62,5.0,4.69,0.0
2017-01-01,750,127545.67,4.199055330634278,12.647026666666667,0.030666666666666665
2017-02-01,1653,271298.65,4.202678027997566,13.168777979431338,0.03206291591046582
2017-03-01,2546,414369.39,4.187376335575782,12.951233307148467,0.05577376276512176
2017-04-01,2303,390952.18,4.137554585152839,14.91780286582718,0.07859313938341293
2017-05-01,3546,567066.73,4.238487777146106,11.32233568406206,0.03609701071630006
2017-06-01,3135,490225.6,4.222918675666988,12.01162360446571,0.03859649122807018
2017-07-01,3872,566403.93,4.258414888079125,11.592778925619834,0.034349173553719005
2017-08-01,4193,646000.61,4.3115246098439375,11.147188170760792,0.03315048891008824
2017-09-01,4150,701169.99,4.267484215638659,11.851045783132529,0.052048192771084335
2017-10-01,4478,751140.27,4.205240665766982,11.856681554265297,0.05292541313086199
2017-11-01,7289,1153528.05,3.988878143133462,15.1611182766191,0.14309233090958978
2017-12-01,5513,843199.17,4.0895440395531955,15.394881189914747,0.08380192272809722
2018-01-01,7069,1078606.86,4.108726650506203,14.080516338944689,0.06563870420144292
2018-02-01,6555,966510.88,3.881716612878439,16.94513043478261,0.15987795575896263
2018-03-01,7003,1120678.0,3.8132556131260795,16.301392260459803,0.21362273311437954
2018-04-01,6798,1132933.95,4.2062351895734595,11.499180641365106,0.05310385407472786
2018-05-01,6749,1128836.69,4.236239214519488,11.419016150540822,0.08238257519632539
2018-06-01,6099,1012090.68,4.306995884773663,9.239260170603675,0.013608788325955074
2018-07-01,6159,1027903.86,4.318085280182976,8.958624106562704,0.044812469556746226
2018-08-01,6351,985414.28,4.3103475513428124,7.732752322468903,0.10392064241851677
